,CD14+ Monocytes,CD4+ Central Memory T,CD4+ Naive T,CD8+ Effector Memory T,CD8+ Naive T,Dendritic Cells,NK cell,pDC
0,0.972972972972973,0.7957317073170731,0.8973333333333333,0.875,0.9292929292929292,0.9602385685884692,0.9036144578313253,0.9743589743589743
1,0.927608587119321,0.7277289836888332,0.8274268104776581,0.780564263322884,0.8777103209019947,0.8930150309460655,0.871536523929471,0.9885057471264368
2,0.881619937694704,0.6201550387596898,0.829440905874027,0.9059334298118669,0.9646182495344506,0.8249158249158249,0.9681159420289854,0.9876543209876543
3,0.727927927927928,0.6200787401574804,0.6061739943872778,0.8711484593837536,0.9081455805892548,0.6929023190442727,0.9148936170212766,0.988235294117647
4,0.63379355687048,0.7319034852546917,0.7329498767460969,0.9243243243243244,0.837171052631579,0.6577437858508604,0.9542483660130718,0.9876543209876543
5,0.6086956521739131,0.7386609071274297,0.4786494538232373,0.8492307692307692,0.7164393395549175,0.6508344030808729,0.9717514124293786,0.9887640449438202
6,0.8726147498710676,0.7832167832167832,0.8995080815179199,0.8854489164086686,0.967487684729064,0.8189723320158102,0.8982035928143712,0.989247311827957
7,0.8488982161594965,0.7547169811320755,0.8799999999999999,0.9302325581395349,0.9116465863453814,0.776954732510288,0.9635036496350365,0.9791666666666666
8,0.57123745819398,0.6566265060240963,0.7969581749049429,0.8414634146341463,0.9816779170684667,0.6111817026683608,0.8961038961038961,0.9494949494949495
9,0.7079538554948392,0.7338804220398591,0.6757912745936698,0.8229665071770335,0.823262839879154,0.682825484764543,0.888888888888889,1.0
